GEO.id,ZCTA,POPULATION
8600000US51360,51360,8031
8600000US55001,55001,2916
8600000US55003,55003,3471
8600000US55005,55005,4422
8600000US55006,55006,4069
8600000US55007,55007,2498
8600000US55008,55008,14685
8600000US55009,55009,8030
8600000US55011,55011,10170
8600000US55012,55012,2078
8600000US55013,55013,6541
8600000US55014,55014,27274
8600000US55016,55016,34204
8600000US55017,55017,714
8600000US55018,55018,997
8600000US55019,55019,1817
8600000US55020,55020,3717
8600000US55021,55021,29732
8600000US55024,55024,32406
8600000US55025,55025,23244
8600000US55026,55026,455
8600000US55027,55027,3031
8600000US55029,55029,38
8600000US55030,55030,1289
8600000US55031,55031,2035
8600000US55032,55032,3616
8600000US55033,55033,29488
8600000US55036,55036,71
8600000US55037,55037,4940
8600000US55038,55038,20816
8600000US55040,55040,12568
8600000US55041,55041,7601
8600000US55042,55042,8840
8600000US55043,55043,3540
8600000US55044,55044,47218
8600000US55045,55045,7577
8600000US55046,55046,5211
8600000US55047,55047,2528
8600000US55049,55049,2476
8600000US55051,55051,9719
8600000US55052,55052,2090
8600000US55053,55053,1009
8600000US55054,55054,2171
8600000US55055,55055,3418
8600000US55056,55056,13546
8600000US55057,55057,24602
8600000US55060,55060,28911
8600000US55063,55063,9348
8600000US55065,55065,1201
8600000US55066,55066,18564
8600000US55068,55068,27490
8600000US55069,55069,5540
8600000US55070,55070,7541
8600000US55071,55071,5569
8600000US55072,55072,4737
8600000US55073,55073,3237
8600000US55074,55074,2222
8600000US55075,55075,20152
8600000US55076,55076,21323
8600000US55077,55077,12572
8600000US55079,55079,8329
8600000US55080,55080,2607
8600000US55082,55082,35024
8600000US55084,55084,1628
8600000US55085,55085,417
8600000US55087,55087,268
8600000US55088,55088,1704
8600000US55089,55089,1814
8600000US55090,55090,401
8600000US55092,55092,10840
8600000US55101,55101,5592
8600000US55102,55102,18207
8600000US55103,55103,12991
8600000US55104,55104,43248
8600000US55105,55105,28455
8600000US55106,55106,52730
8600000US55107,55107,14776
8600000US55108,55108,14688
8600000US55109,55109,31444
8600000US55110,55110,37759
8600000US55111,55111,0
8600000US55112,55112,43250
8600000US55113,55113,38994
8600000US55114,55114,3100
8600000US55115,55115,8607
8600000US55116,55116,23851
8600000US55117,55117,41649
8600000US55118,55118,27548
8600000US55119,55119,38966
8600000US55120,55120,4352
8600000US55121,55121,7861
8600000US55122,55122,30346
8600000US55123,55123,26030
8600000US55124,55124,49084
8600000US55125,55125,43281
8600000US55126,55126,25140
8600000US55127,55127,16782
8600000US55128,55128,28113
8600000US55129,55129,18697
8600000US55130,55130,17575
8600000US55150,55150,198
8600000US55155,55155,0
8600000US55301,55301,10535
8600000US55302,55302,7107
8600000US55303,55303,46352
8600000US55304,55304,45967
8600000US55305,55305,19368
8600000US55306,55306,15935
8600000US55307,55307,3227
8600000US55308,55308,9064
8600000US55309,55309,18208
8600000US55310,55310,1519
8600000US55311,55311,32788
8600000US55312,55312,1595
8600000US55313,55313,23255
8600000US55314,55314,1337
8600000US55315,55315,4762
8600000US55316,55316,23089
8600000US55317,55317,19218
8600000US55318,55318,25493
8600000US55319,55319,5038
8600000US55320,55320,4973
8600000US55321,55321,5341
8600000US55322,55322,3163
8600000US55324,55324,1234
8600000US55325,55325,4610
8600000US55327,55327,3478
8600000US55328,55328,8541
8600000US55329,55329,2118
8600000US55330,55330,36440
8600000US55331,55331,17524
8600000US55332,55332,1922
8600000US55333,55333,856
8600000US55334,55334,2939
8600000US55335,55335,1629
8600000US55336,55336,8054
8600000US55337,55337,44356
8600000US55338,55338,1123
8600000US55339,55339,988
8600000US55340,55340,6327
8600000US55341,55341,2850
8600000US55342,55342,2015
8600000US55343,55343,23933
8600000US55344,55344,13952
8600000US55345,55345,21147
8600000US55346,55346,16776
8600000US55347,55347,30069
8600000US55349,55349,3887
8600000US55350,55350,18280
8600000US55352,55352,8751
8600000US55353,55353,3162
8600000US55354,55354,2741
8600000US55355,55355,9656
8600000US55356,55356,5311
8600000US55357,55357,3246
8600000US55358,55358,4982
8600000US55359,55359,5954
8600000US55360,55360,2672
8600000US55362,55362,18089
8600000US55363,55363,4496
8600000US55364,55364,14353
8600000US55366,55366,443
8600000US55367,55367,913
8600000US55368,55368,2218
8600000US55369,55369,32524
8600000US55370,55370,802
8600000US55371,55371,16442
8600000US55372,55372,29811
8600000US55373,55373,5600
8600000US55374,55374,13576
8600000US55375,55375,4518
8600000US55376,55376,16242
8600000US55378,55378,26958
8600000US55379,55379,40416
8600000US55381,55381,2063
8600000US55382,55382,3563
8600000US55384,55384,1672
8600000US55385,55385,1291
8600000US55386,55386,6330
8600000US55387,55387,12249
8600000US55388,55388,5619
8600000US55389,55389,2643
8600000US55390,55390,2473
8600000US55391,55391,14486
8600000US55395,55395,2892
8600000US55396,55396,2252
8600000US55397,55397,2693
8600000US55398,55398,15540
8600000US55401,55401,6590
8600000US55402,55402,368
8600000US55403,55403,14985
8600000US55404,55404,27121
8600000US55405,55405,15411
8600000US55406,55406,32112
8600000US55407,55407,37881
8600000US55408,55408,29981
8600000US55409,55409,11615
8600000US55410,55410,19340
8600000US55411,55411,27428
8600000US55412,55412,22148
8600000US55413,55413,12934
8600000US55414,55414,28495
8600000US55415,55415,2604
8600000US55416,55416,29027
8600000US55417,55417,24875
8600000US55418,55418,29472
8600000US55419,55419,26406
8600000US55420,55420,21767
8600000US55421,55421,27035
8600000US55422,55422,27820
8600000US55423,55423,35375
8600000US55424,55424,9685
8600000US55425,55425,8952
8600000US55426,55426,24945
8600000US55427,55427,22919
8600000US55428,55428,29357
8600000US55429,55429,26751
8600000US55430,55430,21508
8600000US55431,55431,18435
8600000US55432,55432,30027
8600000US55433,55433,33613
8600000US55434,55434,28823
8600000US55435,55435,11592
8600000US55436,55436,13138
8600000US55437,55437,17484
8600000US55438,55438,16249
8600000US55439,55439,8750
8600000US55441,55441,17848
8600000US55442,55442,13217
8600000US55443,55443,32462
8600000US55444,55444,15667
8600000US55445,55445,9879
8600000US55446,55446,18695
8600000US55447,55447,21187
8600000US55448,55448,27863
8600000US55449,55449,23277
8600000US55450,55450,10
8600000US55454,55454,8125
8600000US55455,55455,1050
8600000US55601,55601,105
8600000US55602,55602,177
8600000US55603,55603,508
8600000US55604,55604,3360
8600000US55605,55605,565
8600000US55606,55606,272
8600000US55607,55607,134
8600000US55609,55609,303
8600000US55612,55612,518
8600000US55613,55613,205
8600000US55614,55614,2627
8600000US55615,55615,256
8600000US55616,55616,6994
8600000US55702,55702,500
8600000US55703,55703,701
8600000US55704,55704,1128
8600000US55705,55705,3299
8600000US55706,55706,1825
8600000US55707,55707,3440
8600000US55708,55708,959
8600000US55709,55709,4075
8600000US55710,55710,1292
8600000US55711,55711,607
8600000US55712,55712,586
8600000US55713,55713,1017
8600000US55716,55716,341
8600000US55717,55717,335
8600000US55718,55718,3281
8600000US55719,55719,5895
8600000US55720,55720,16999
8600000US55721,55721,3410
8600000US55722,55722,1200
8600000US55723,55723,2363
8600000US55724,55724,741
8600000US55725,55725,103
8600000US55726,55726,1045
8600000US55731,55731,5820
8600000US55732,55732,1453
8600000US55733,55733,4616
8600000US55734,55734,6213
8600000US55735,55735,1809
8600000US55736,55736,1550
8600000US55738,55738,544
8600000US55741,55741,3164
8600000US55742,55742,344
8600000US55744,55744,20164
8600000US55746,55746,17228
8600000US55748,55748,1476
8600000US55749,55749,449
8600000US55750,55750,2025
8600000US55751,55751,1553
8600000US55752,55752,395
8600000US55753,55753,989
8600000US55756,55756,431
8600000US55757,55757,866
8600000US55758,55758,145
8600000US55760,55760,3108
8600000US55763,55763,554
8600000US55764,55764,569
8600000US55765,55765,802
8600000US55766,55766,43
8600000US55767,55767,4532
8600000US55768,55768,2843
8600000US55769,55769,2313
8600000US55771,55771,1680
8600000US55772,55772,76
8600000US55775,55775,1205
8600000US55779,55779,3755
8600000US55780,55780,212
8600000US55781,55781,734
8600000US55782,55782,480
8600000US55783,55783,2437
8600000US55784,55784,89
8600000US55785,55785,263
8600000US55786,55786,305
8600000US55787,55787,525
8600000US55790,55790,1866
8600000US55792,55792,10107
8600000US55793,55793,615
8600000US55795,55795,1629
8600000US55797,55797,1441
8600000US55798,55798,581
8600000US55802,55802,2442
8600000US55803,55803,17431
8600000US55804,55804,14592
8600000US55805,55805,10194
8600000US55806,55806,9576
8600000US55807,55807,9963
8600000US55808,55808,5846
8600000US55810,55810,8702
8600000US55811,55811,26246
8600000US55812,55812,10924
8600000US55814,55814,772
8600000US55901,55901,51917
8600000US55902,55902,21968
8600000US55904,55904,26332
8600000US55905,55905,0
8600000US55906,55906,17598
8600000US55909,55909,1428
8600000US55910,55910,1423
8600000US55912,55912,28483
8600000US55917,55917,3696
8600000US55918,55918,982
8600000US55919,55919,985
8600000US55920,55920,7026
8600000US55921,55921,4964
8600000US55922,55922,1021
8600000US55923,55923,4469
8600000US55924,55924,1303
8600000US55925,55925,1113
8600000US55926,55926,853
8600000US55927,55927,4071
8600000US55929,55929,1209
8600000US55931,55931,330
8600000US55932,55932,2042
8600000US55933,55933,273
8600000US55934,55934,3338
8600000US55935,55935,939
8600000US55936,55936,1861
8600000US55939,55939,1963
8600000US55940,55940,2666
8600000US55941,55941,969
8600000US55943,55943,3059
8600000US55944,55944,7151
8600000US55945,55945,1458
8600000US55946,55946,3178
8600000US55947,55947,7513
8600000US55949,55949,1808
